서윤	1	38,609
서연	2	38,452
지우	3	33,814
하윤	4	32,145
서현	5	32,145
하은	6	30,321
민서	7	29,569
지유	8	26,641
윤서	9	26,094
채원	10	24,528
수아	11	23,905
지민	12	23,781
지아	13	23,441
지윤	14	22,633
다은	15	22,454
은서	16	22,402
예은	17	20,844
지안	18	20,730
소율	19	20,306
서아	20	20,214
예린	21	19,828
하린	22	19,430
수빈	23	19,396
소윤	24	18,644
예원	25	18,492
지원	26	17,975
유나	27	17,464
시은	28	16,970
채은	29	16,563
유진	30	16,512
윤아	31	16,380
예나	32	15,592
가은	33	15,124
시아	34	15,046
아린	35	14,790
예서	36	14,548
서영	37	14,364
연우	38	14,345
예진	39	14,266
민지	40	14,140
주아	41	14,056
하율	42	13,975
수민	43	13,664
다인	44	13,544
유주	45	13,432
수연	46	13,417
아윤	47	13,399
연서	48	13,017
서우	49	12,978
아인	50	12,878
시연	51	12,527
서은	52	12,373
다연	53	12,120
나은	54	12,009
채윤	55	12,004
서율	56	11,952
하연	57	11,904
나윤	58	11,861
지율	59	11,720
현서	60	11,623
서하	61	11,308
서진	62	10,960
유빈	63	10,939
다현	64	10,852
채아	65	10,794
예지	66	10,567
수현	67	10,521
소은	68	10,495
사랑	69	10,023
나연	70	9,992
지은	71	9,868
시현	72	9,433
예빈	73	9,399
민주	74	9,224
은채	75	9,155
세아	76	9,117
윤지	77	9,068
다윤	78	8,978
소연	79	8,974
지현	80	8,962
주하	81	8,934
지수	82	8,848
승아	83	8,573
소민	84	8,558
혜원	85	8,458
다온	86	8,426
채린	87	8,418
하영	88	8,283
민아	89	8,003
나현	90	7,996
서희	91	7,977
세은	92	7,924
아영	93	7,806
도연	94	7,757
규리	95	7,743
이서	96	7,702
가윤	97	7,224
유하	98	7,168
아현	99	7,139
연아	100	7,026
